part_number,status
6SL3201-2AD20-8VA0,NOT IN OLD CATALOGUE
DBEMLTK25KE,NOT IN OLD CATALOGUE
1020280000,FOUND EXACTLY
3SU1900-0KG10-0AA0,FOUND EXACTLY
3VA2710-7AC03-0AA0,NOT IN OLD CATALOGUE
1133630000,NOT IN OLD CATALOGUE
3VA2463-6HN32-0AA0,FOUND EXACTLY
3VA1116-3ED22-0AA0,FOUND EXACTLY
U5430G250ECT-XM2XX,NOT IN OLD CATALOGUE
3VA1120-5EE32-0AA0,FOUND EXACTLY
3VA1163-5EF42-0AA0,NOT IN OLD CATALOGUE
U4242O250ECT-XM2XX,NOT IN OLD CATALOGUE
5TL1692-0,NOT IN OLD CATALOGUE
5SY4150-7CC,FOUND EXACTLY
0687900000,NOT IN OLD CATALOGUE
5SY4132-7CC,FOUND EXACTLY
3VA1340-5EF32-0AA0,FOUND EXACTLY
5SY6220-7CC,FOUND EXACTLY
3SU1401-1BB50-1AA0,FOUND EXACTLY
3SU1152-0AB20-1CA0,FOUND EXACTLY
3VA1450-4EF42-0AA0,NOT IN OLD CATALOGUE
3VA2340-5HM32-0AA0,FOUND EXACTLY
5SY4106-7CC,FOUND EXACTLY
U4218O250EKT-SM1XX,NOT IN OLD CATALOGUE
5SY6150-7CC,FOUND EXACTLY
U2412O250EKT-XMXXX,NOT IN OLD CATALOGUE
3WL9111-0BA33-0AA0,NOT IN OLD CATALOGUE
ENCY25084T,FOUND EXACTLY
ENCL25012T,NOT IN OLD CATALOGUE
3VA2463-0HL32-0AA0,NOT IN OLD CATALOGUE
U1818O250ECT-SMXXX,NOT IN OLD CATALOGUE
3VW9727-0FK21,FOUND EXACTLY
3VA2216-5HL42-0AA0,NOT IN OLD CATALOGUE
1469590000,FOUND EXACTLY
3WL9111-0AA61-0AA0,NOT IN OLD CATALOGUE
1011300000,FOUND EXACTLY
U1818O250EKT-XMXXX,NOT IN OLD CATALOGUE
U84O250ECT-XMXXX,NOT IN OLD CATALOGUE
1036300000,FOUND EXACTLY
3RW4047-1BB04,NOT IN OLD CATALOGUE
3RH2911-1DA02,FOUND EXACTLY
5SU9304-7KK20,FOUND EXACTLY
U3636O250ECT-XMXXX,NOT IN OLD CATALOGUE
U60O250ECT-XMXXX,NOT IN OLD CATALOGUE
9005900000,NOT IN OLD CATALOGUE
5ST3011,FOUND EXACTLY
5ST3010,FOUND EXACTLY
U24G250ECT-XMXXX,NOT IN OLD CATALOGUE
3SU1103-6AA30-1AA0,FOUND EXACTLY
IND-M-24-RED,FOUND EXACTLY
3VA1180-3ED22-0AA0,FOUND EXACTLY
1036700000,NOT IN OLD CATALOGUE
3VA2110-5KQ32-0AA0,NOT IN OLD CATALOGUE
3VA1340-6EF32-0AA0,FOUND EXACTLY
3RB2056-1FC2,FOUND EXACTLY
3SU1401-1BB00-1AA0,NOT IN OLD CATALOGUE
3WA9111-0AE05,NOT IN OLD CATALOGUE
U84G250ECT-XMXXX,NOT IN OLD CATALOGUE
3SU1401-1BC30-1AA0,FOUND EXACTLY
U96G250EKT-SMXXX,FOUND - FORMAT DIFFERENCE
U84O250ECT-XM1XX,NOT IN OLD CATALOGUE
5SV3312-6,FOUND EXACTLY
0383400000,FOUND EXACTLY
7760056076,FOUND EXACTLY
3RB3026-1QB0,FOUND EXACTLY
1123610000,NOT IN OLD CATALOGUE
IA.20DCT-2C,NOT IN OLD CATALOGUE
7760056066,NOT IN OLD CATALOGUE
2988440000,NOT IN OLD CATALOGUE
3VA2116-6HL36-0AA0,NOT IN OLD CATALOGUE
6SE6400-4BC05-0AA0,NOT IN OLD CATALOGUE
3VA1580-5EF42-0AA0,NOT IN OLD CATALOGUE
U1212G250EKT-SMXXX,FOUND - FORMAT DIFFERENCE
3VA1163-5ED22-0AA0,FOUND EXACTLY
U4218O250ECT-XM1XX,NOT IN OLD CATALOGUE
3SU1061-0JD30-0AA0,FOUND EXACTLY
3VA2225-6HL32-0AA0,FOUND EXACTLY
5TL1263-1,NOT IN OLD CATALOGUE
U1818G250EKT-XMXXX,NOT IN OLD CATALOGUE
0485300000,NOT IN OLD CATALOGUE
5SY4301-7CC,FOUND EXACTLY
3WL9111-0AH11-0AA0,NOT IN OLD CATALOGUE
3VA1580-5EF32-0AA0,FOUND EXACTLY
3SU1153-0AB50-1BA0,FOUND EXACTLY
5SV9316-7PK16,FOUND EXACTLY
3VA2063-6HL32-0AA0,FOUND EXACTLY
3WL9111-0AT56-0AA0,NOT IN OLD CATALOGUE
5SL4316-7CC,FOUND EXACTLY
5TL1340-0,NOT IN OLD CATALOGUE
3SU1100-2BL60-1NA0,FOUND EXACTLY
1027050000,NOT IN OLD CATALOGUE
7760056094,NOT IN OLD CATALOGUE
U96G250ECT-SMXXX,NOT IN OLD CATALOGUE
3VA1110-4EF32-0AA0,NOT IN OLD CATALOGUE
6GK7177-1MA20-0AA0,FOUND EXACTLY
3VA1163-3EF32-0AA0,NOT IN OLD CATALOGUE
1820550000,FOUND EXACTLY
3RT2024-1AV00,NOT IN OLD CATALOGUE
U4848G250EKT-XM1XX,NOT IN OLD CATALOGUE
U48G250EKT-XM1XX,NOT IN OLD CATALOGUE
3RT2025-1BP40,NOT IN OLD CATALOGUE
U60G250EKT-XMXXX,NOT IN OLD CATALOGUE
3SU1152-6AA30-1AA0,FOUND EXACTLY
5SV9316-7NK25,FOUND EXACTLY
KU2V,FOUND EXACTLY
0101700000,NOT IN OLD CATALOGUE
U96O250ECT,FOUND - FORMAT DIFFERENCE
3WL9111-0BA31-0AA0,NOT IN OLD CATALOGUE
U84G250ECT-XM1XX,NOT IN OLD CATALOGUE
9005910000,FOUND EXACTLY
3NW6002-1,FOUND EXACTLY
U36O250EKT-SMXXX,NOT IN OLD CATALOGUE
1011010000,NOT IN OLD CATALOGUE
5SV9316-7NK10,FOUND EXACTLY
3VA2463-6HM32-0AA0,FOUND EXACTLY
3VA9157-0HA10,FOUND EXACTLY
5SU9354-7KK10,FOUND EXACTLY
1020100000,FOUND EXACTLY
3VA2110-6HL32-0AA0,NOT IN OLD CATALOGUE
3VA2780-5AC03-0AA0,NOT IN OLD CATALOGUE
3VA9253-0JA11,FOUND EXACTLY
U3030G250EKT-XM1XX,NOT IN OLD CATALOGUE
5SP4192-7,FOUND EXACTLY
3VA2580-5HL32-0AA0,FOUND EXACTLY
3SU1061-0JB70-0AA0,FOUND EXACTLY
3VA1112-4ED22-0AA0,FOUND EXACTLY
3321107,FOUND EXACTLY
3SU1062-2DL60-0AA0,FOUND EXACTLY
3VA1125-4ED22-0AA0,FOUND EXACTLY
U4218G250ECT-SM1XX,FOUND - FORMAT DIFFERENCE
U60O250ECT,FOUND - FORMAT DIFFERENCE
7KM5412-6BA00-1EA2,FOUND EXACTLY
U84G250EKT-SXXXX,NOT IN OLD CATALOGUE
5TL1391-0,NOT IN OLD CATALOGUE
5ST3700,NOT IN OLD CATALOGUE
IA.PC3X-35100/5A,NOT IN OLD CATALOGUE
3VA2216-6HL32-0AA0,NOT IN OLD CATALOGUE
3VA2140-5KQ32-0AA0,NOT IN OLD CATALOGUE
U18O250ECT,FOUND - FORMAT DIFFERENCE
7760056086,NOT IN OLD CATALOGUE
5ST3768-3,NOT IN OLD CATALOGUE
3VA1112-3ED12-0AA0,FOUND EXACTLY
3RB3026-1RB0,FOUND EXACTLY
5SU9354-7KK25,FOUND EXACTLY
1037700000,NOT IN OLD CATALOGUE
3VA1150-3EE32-0AA0,FOUND EXACTLY
6ED1055-1FB10-0BA2,FOUND EXACTLY
5SL4306-7CC,FOUND EXACTLY
3WL9111-0AH07-0AA0,NOT IN OLD CATALOGUE
3VA9267-0HA20,FOUND EXACTLY
5SL4363-7CC,FOUND EXACTLY
U72O250EKT-XM1XX,NOT IN OLD CATALOGUE
U4242G250EKT-SM2XX,FOUND - FORMAT DIFFERENCE
7760056093,NOT IN OLD CATALOGUE
3RT2037-1AP00,NOT IN OLD CATALOGUE
5SL4332-7CC,FOUND EXACTLY
5SL4116-7CC,FOUND EXACTLY
3NW6007-1,FOUND EXACTLY
ENCY25072U,FOUND EXACTLY
3WL9111-0AA67-0AA0,NOT IN OLD CATALOGUE
3VA2440-6HL32-0AA0,NOT IN OLD CATALOGUE
U6036G250ECT-XM1XX,NOT IN OLD CATALOGUE
3NW6230-1,FOUND - FORMAT DIFFERENCE
6SL3266-1AR00-0VA0,NOT IN OLD CATALOGUE
U18G250ECT-SXXXX,NOT IN OLD CATALOGUE
1037710000,NOT IN OLD CATALOGUE
IND-P-230-AMB,NOT IN OLD CATALOGUE
3VA2140-6HL32-0AA0,NOT IN OLD CATALOGUE
3WL9111-0AA21-0AA0,NOT IN OLD CATALOGUE
3VA9153-0QC00,FOUND EXACTLY
3VA9988-0BL10,NOT IN OLD CATALOGUE
7760056065,NOT IN OLD CATALOGUE
5SL4106-7CC,FOUND EXACTLY
3SU1152-0AB30-1BA0,FOUND EXACTLY
5SV9316-7NK32,FOUND EXACTLY
3VA1110-6EF32-0AA0,FOUND EXACTLY
PB-P-RED,FOUND EXACTLY
3RB3046-1UW1,NOT IN OLD CATALOGUE
3RT2027-1BB40,NOT IN OLD CATALOGUE
U72O250ECT,FOUND - FORMAT DIFFERENCE
3VA9111-0WD30,FOUND EXACTLY
6SL3210-5BB12-5BV1,NOT IN OLD CATALOGUE
U96G250ECT-XMXXX,NOT IN OLD CATALOGUE
3VA1180-4EE32-0AA0,FOUND EXACTLY
3VA1140-3ED12-0AA0,FOUND EXACTLY
3VA1110-5EF32-0AA0,NOT IN OLD CATALOGUE
3RT2027-1AB00,NOT IN OLD CATALOGUE
1020110000,NOT IN OLD CATALOGUE
7760056107,NOT IN OLD CATALOGUE
5SL4263-7CC,FOUND EXACTLY
3VA2163-5KP32-0AA0,NOT IN OLD CATALOGUE
3VA2325-6HL42-0AA0,NOT IN OLD CATALOGUE
3RW4024-1BB04,NOT IN OLD CATALOGUE
1020480000,FOUND EXACTLY
